,ArUcoTag#13,ArUcoTag#16,ArUcoTag#56,ArUcoTag#49,ArUcoTag#19,ArUcoTag#61,ArUcoTag#32,ArUcoTag#48,ArUcoTag#6,ArUcoTag#15,ArUcoTag#23,ArUcoTag#44,ArUcoTag#53,ArUcoTag#5,ArUcoTag#51,ArUcoTag#27,ArUcoTag#18,ArUcoTag#40,ArUcoTag#17,ArUcoTag#4,ArUcoTag#39,ArUcoTag#36,ArUcoTag#55,ArUcoTag#14,ArUcoTag#30,ArUcoTag#33,ArUcoTag#46,ArUcoTag#20,ArUcoTag#38,ArUcoTag#11,ArUcoTag#12,ArUcoTag#25,ArUcoTag#21,ArUcoTag#57,ArUcoTag#59,ArUcoTag#3,ArUcoTag#2,ArUcoTag#28,ArUcoTag#58,ArUcoTag#41,ArUcoTag#43,ArUcoTag#47,ArUcoTag#29,ArUcoTag#9,ArUcoTag#50,ArUcoTag#7,ArUcoTag#10,ArUcoTag#26,ArUcoTag#42,ArUcoTag#52
ArUcoTag#59,6283.0,1531.0,2233.0,2025.0,2464.0,2025.0,2181.0,2340.0,2656.0,3054.0,2874.0,3042.0,3695.0,3835.0,3378.0,4178.0,3415.0,3000.0,2385.0,2186.0,3160.0,4337.0,2976.0,3521.0,4359.0,3057.0,3751.0,4342.0,3922.0,3814.0,4181.0,3682.0,2906.0,2917.0,0.0,3630.0,2861.0,3315.0,3615.0,3468.0,3402.0,3948.0,3590.0,3294.0,3231.0,4690.0,4398.0,3773.0,3671.0,4164.0
ArUcoTag#3,5660.0,1429.0,2419.0,2074.0,1963.0,2450.0,4020.0,2374.0,2317.0,3979.0,3105.0,3450.0,3099.0,4368.0,3075.0,3146.0,2593.0,2855.0,3439.0,4248.0,2433.0,2838.0,2182.0,3140.0,3689.0,4401.0,3794.0,2614.0,3892.0,4164.0,3034.0,2841.0,2859.0,3735.0,3630.0,0.0,3332.0,2942.0,3485.0,4536.0,3047.0,4144.0,3642.0,3656.0,4084.0,4525.0,4523.0,4265.0,4116.0,3209.0
ArUcoTag#2,6609.0,1677.0,2058.0,2560.0,2153.0,2287.0,2647.0,3001.0,2626.0,3314.0,3347.0,3323.0,3545.0,3401.0,3340.0,2860.0,2820.0,2471.0,2255.0,2891.0,3511.0,3421.0,3231.0,4105.0,4227.0,4880.0,3980.0,3951.0,4029.0,4009.0,4325.0,3411.0,3230.0,3861.0,2861.0,3332.0,0.0,3242.0,3335.0,3929.0,3489.0,4836.0,3313.0,4280.0,5021.0,3719.0,3907.0,3264.0,2848.0,4061.0
ArUcoTag#28,5355.0,2182.0,1727.0,2242.0,1974.0,2433.0,3491.0,3742.0,2185.0,3837.0,3215.0,2763.0,3082.0,3314.0,3297.0,3222.0,3300.0,3222.0,3280.0,2816.0,2967.0,3105.0,2800.0,3555.0,4078.0,4533.0,4122.0,4157.0,4487.0,3743.0,4263.0,3653.0,3800.0,3627.0,3315.0,2942.0,3242.0,0.0,3522.0,3371.0,3076.0,3909.0,3104.0,3779.0,3967.0,5244.0,3870.0,4675.0,3073.0,3914.0
ArUcoTag#58,7541.0,2190.0,2093.0,2063.0,2170.0,2385.0,3121.0,3125.0,2290.0,2780.0,4283.0,3016.0,3679.0,2902.0,3120.0,3043.0,2909.0,3046.0,2502.0,2209.0,2062.0,2460.0,2607.0,3218.0,3754.0,5466.0,3756.0,5213.0,3651.0,3498.0,3607.0,3434.0,3361.0,4691.0,3615.0,3485.0,3335.0,3522.0,0.0,3149.0,2908.0,3293.0,3032.0,3305.0,3117.0,4316.0,4777.0,3479.0,3936.0,3024.0
ArUcoTag#41,10211.0,1361.0,2028.0,2070.0,2325.0,2415.0,2226.0,2803.0,2643.0,2740.0,2379.0,3422.0,3005.0,2791.0,2821.0,2883.0,3242.0,2628.0,3076.0,2202.0,3566.0,2865.0,2015.0,3839.0,3206.0,3212.0,3874.0,3316.0,3356.0,3513.0,3492.0,3585.0,3269.0,4095.0,3468.0,4536.0,3929.0,3371.0,3149.0,0.0,3442.0,3838.0,3694.0,3819.0,4082.0,5349.0,5050.0,3544.0,4112.0,3561.0
ArUcoTag#43,9087.0,1038.0,1833.0,1713.0,1814.0,2375.0,2160.0,2193.0,2799.0,2534.0,2940.0,3460.0,3104.0,3003.0,3703.0,2489.0,2933.0,2039.0,2754.0,2763.0,2822.0,2871.0,3738.0,3553.0,2763.0,3246.0,2830.0,3773.0,2743.0,3037.0,3047.0,3796.0,4698.0,3634.0,3402.0,3047.0,3489.0,3076.0,2908.0,3442.0,0.0,3332.0,3977.0,3798.0,3428.0,4431.0,3090.0,3691.0,3546.0,4840.0
ArUcoTag#47,6959.0,1199.0,2201.0,2970.0,2469.0,3200.0,2601.0,2606.0,2244.0,4258.0,3489.0,4073.0,3759.0,3245.0,3251.0,4574.0,3361.0,3375.0,2920.0,2448.0,4208.0,2753.0,3788.0,3449.0,4018.0,3372.0,5023.0,3291.0,3053.0,3532.0,3728.0,3632.0,2926.0,4424.0,3948.0,4144.0,4836.0,3909.0,3293.0,3838.0,3332.0,0.0,3605.0,3683.0,4105.0,5160.0,6440.0,3469.0,4392.0,3866.0
ArUcoTag#29,8170.0,1078.0,2131.0,2008.0,3228.0,3519.0,2305.0,2603.0,1967.0,2890.0,2244.0,3421.0,3378.0,3140.0,2883.0,3160.0,2603.0,3053.0,2119.0,2740.0,2495.0,2663.0,3055.0,3714.0,3178.0,3178.0,3033.0,2906.0,2788.0,2962.0,3138.0,2668.0,3462.0,4047.0,3590.0,3642.0,3313.0,3104.0,3032.0,3694.0,3977.0,3605.0,0.0,3614.0,4575.0,5240.0,4652.0,3226.0,4863.0,4970.0
ArUcoTag#9,7654.0,2035.0,1611.0,1660.0,2218.0,3095.0,2109.0,3282.0,2057.0,3006.0,3503.0,3763.0,3447.0,2522.0,2950.0,3333.0,2633.0,3013.0,2988.0,2369.0,2541.0,2880.0,2624.0,2660.0,3874.0,2429.0,3315.0,3424.0,3040.0,3495.0,3489.0,3120.0,3488.0,3828.0,3294.0,3656.0,4280.0,3779.0,3305.0,3819.0,3798.0,3683.0,3614.0,0.0,3212.0,4159.0,4617.0,3997.0,6678.0,3816.0
ArUcoTag#50,12613.0,1687.0,2446.0,2693.0,2888.0,2601.0,3114.0,2575.0,4705.0,3261.0,2889.0,3145.0,3969.0,3127.0,3514.0,3730.0,3463.0,3128.0,2724.0,3896.0,3946.0,3486.0,2791.0,3983.0,3734.0,3314.0,3076.0,3875.0,3653.0,3820.0,4597.0,5395.0,2837.0,3140.0,3231.0,4084.0,5021.0,3967.0,3117.0,4082.0,3428.0,4105.0,4575.0,3212.0,0.0,4168.0,4945.0,5539.0,4103.0,4377.0
ArUcoTag#7,9420.0,1385.0,3046.0,3894.0,2420.0,3642.0,2034.0,3708.0,2809.0,4795.0,3684.0,4102.0,4296.0,4046.0,4260.0,3873.0,3735.0,3286.0,4295.0,4023.0,3175.0,3724.0,3616.0,4806.0,4651.0,4411.0,3738.0,5331.0,3446.0,4736.0,5402.0,4105.0,4099.0,4924.0,4690.0,4525.0,3719.0,5244.0,4316.0,5349.0,4431.0,5160.0,5240.0,4159.0,4168.0,0.0,4684.0,5467.0,5016.0,4135.0
ArUcoTag#10,6371.0,2419.0,2339.0,2740.0,2358.0,2957.0,3920.0,3534.0,3670.0,4964.0,3330.0,4089.0,3822.0,3349.0,3434.0,4007.0,3266.0,3617.0,1940.0,3099.0,3110.0,3503.0,3131.0,4704.0,4084.0,3367.0,4254.0,5081.0,3644.0,4510.0,4143.0,4294.0,4489.0,4172.0,4398.0,4523.0,3907.0,3870.0,4777.0,5050.0,3090.0,6440.0,4652.0,4617.0,4945.0,4684.0,0.0,3994.0,3981.0,4365.0
ArUcoTag#26,6345.0,2864.0,3017.0,2487.0,2465.0,2288.0,3006.0,2685.0,3102.0,5774.0,3545.0,2985.0,4792.0,3286.0,3541.0,2709.0,2910.0,3374.0,2983.0,2804.0,3171.0,3366.0,3070.0,4066.0,3880.0,3831.0,3475.0,6933.0,4542.0,4861.0,3985.0,3361.0,3836.0,4355.0,3773.0,4265.0,3264.0,4675.0,3479.0,3544.0,3691.0,3469.0,3226.0,3997.0,5539.0,5467.0,3994.0,0.0,3715.0,4318.0
ArUcoTag#42,8194.0,1425.0,6610.0,2161.0,2359.0,2387.0,2447.0,2673.0,2036.0,3359.0,3489.0,3397.0,3799.0,3221.0,2622.0,3349.0,3094.0,3022.0,2427.0,3308.0,3742.0,2936.0,3188.0,3296.0,3441.0,3260.0,3920.0,3367.0,3315.0,3111.0,4461.0,3269.0,3199.0,3791.0,3671.0,4116.0,2848.0,3073.0,3936.0,4112.0,3546.0,4392.0,4863.0,6678.0,4103.0,5016.0,3981.0,3715.0,0.0,3812.0
ArUcoTag#52,9499.0,1430.0,3044.0,2558.0,2034.0,2735.0,2750.0,2759.0,2971.0,3716.0,3322.0,2907.0,2666.0,2685.0,2890.0,2645.0,2927.0,2942.0,3651.0,5433.0,3044.0,4526.0,2150.0,3064.0,3096.0,3738.0,3097.0,2982.0,3390.0,2884.0,5205.0,3631.0,3816.0,3345.0,4164.0,3209.0,4061.0,3914.0,3024.0,3561.0,4840.0,3866.0,4970.0,3816.0,4377.0,4135.0,4365.0,4318.0,3812.0,0.0
