"","X","params","values","ExpDay","Day","Zeit","Hour","Col","QR","ID","Mod","Trial","TimeOfDay","ColID"
"28",0,"Transitivity",0.965833272234035,"1","1",21,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 4","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"29",1,"Average Clustering",0.966146088203218,"1","1",21,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 4","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"30",2,"GlobalEfficiency",106.634785711047,"1","1",21,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 4","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"31",3,"Sum",162498,"1","1",21,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 4","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"32",4,"Modularity",0.00652177628888995,"1","1",21,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 4","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"33",5,"Assortativity",-0.0163457409547004,"1","1",21,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 4","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"34",6,"DegreeCentralization",0.000374853554728529,"1","1",21,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 4","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"35",7,"KeystoneAssortativity",-0.0195352303655913,"1","1",21,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 4","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"36",8,"KeystoneAssPercentile",56.85,"1","1",21,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 4","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"37",0,"Transitivity",0.915035140562249,"1","1",22,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 5","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"38",1,"Average Clustering",0.918862971660185,"1","1",22,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 5","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"39",2,"GlobalEfficiency",90.3352070499927,"1","1",22,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 5","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"40",3,"Sum",128182,"1","1",22,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 5","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"41",4,"Modularity",0.0726134834795346,"1","1",22,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 5","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"42",5,"Assortativity",-0.0615522766716412,"1","1",22,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 5","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"43",6,"DegreeCentralization",0.000325794050214589,"1","1",22,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 5","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"44",7,"KeystoneAssortativity",-0.0157440523669599,"1","1",22,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 5","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"45",8,"KeystoneAssPercentile",72.17,"1","1",22,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 5","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"46",0,"Transitivity",0.916799305455072,"1","1",23,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 6","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"47",1,"Average Clustering",0.920080288900649,"1","1",23,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 6","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"48",2,"GlobalEfficiency",84.9599161570906,"1","1",23,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 6","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"49",3,"Sum",120224,"1","1",23,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 6","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"50",4,"Modularity",0.0474828008423403,"1","1",23,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 6","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"51",5,"Assortativity",-0.0462526902403029,"1","1",23,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 6","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"52",6,"DegreeCentralization",0.000518697182446716,"1","1",23,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 6","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"53",7,"KeystoneAssortativity",-0.0311898789725383,"1","1",23,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 6","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"54",8,"KeystoneAssPercentile",10.485,"1","1",23,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 6","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"55",0,"Transitivity",0.93875755264856,"1","2",0,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 7","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"56",1,"Average Clustering",0.940244624497418,"1","2",0,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 7","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"57",2,"GlobalEfficiency",121.128483290975,"1","2",0,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 7","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"58",3,"Sum",153168,"1","2",0,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 7","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"59",4,"Modularity",0.0908564012897359,"1","2",0,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 7","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"60",5,"Assortativity",-0.0186817753947203,"1","2",0,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 7","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"61",6,"DegreeCentralization",0.000933993344202268,"1","2",0,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 7","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"62",7,"KeystoneAssortativity",-0.026500120407501,"1","2",0,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 7","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"63",8,"KeystoneAssPercentile",19.9525,"1","2",0,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 7","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"64",0,"Transitivity",0.937301556191447,"1","2",1,8,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 8","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"65",1,"Average Clustering",0.938443399281809,"1","2",1,8,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 8","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"66",2,"GlobalEfficiency",99.1522996684638,"1","2",1,8,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 8","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"67",3,"Sum",127538,"1","2",1,8,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 8","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"68",4,"Modularity",0.0556101099413254,"1","2",1,8,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 8","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"69",5,"Assortativity",-0.016129383129954,"1","2",1,8,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 8","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"70",6,"DegreeCentralization",0.000808448240682123,"1","2",1,8,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 8","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"71",7,"KeystoneAssortativity",-0.0138270894305534,"1","2",1,8,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 8","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"72",8,"KeystoneAssPercentile",81.8075,"1","2",1,8,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 8","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"73",0,"Transitivity",0.920479614347577,"1","2",2,9,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 9","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"74",1,"Average Clustering",0.922319329681828,"1","2",2,9,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 9","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"75",2,"GlobalEfficiency",115.236931778304,"1","2",2,9,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 9","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"76",3,"Sum",138564,"1","2",2,9,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 9","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"77",4,"Modularity",0.128993394869674,"1","2",2,9,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 9","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"78",5,"Assortativity",-0.0319837872900553,"1","2",2,9,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 9","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"79",6,"DegreeCentralization",0.000678062258178104,"1","2",2,9,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 9","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"80",7,"KeystoneAssortativity",-0.0223830133215335,"1","2",2,9,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 9","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"81",8,"KeystoneAssPercentile",42.33,"1","2",2,9,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 9","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"82",0,"Transitivity",0.888086890767856,"1","2",3,10,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 10","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"83",1,"Average Clustering",0.896549440344857,"1","2",3,10,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 10","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"84",2,"GlobalEfficiency",83.1296401285532,"1","2",3,10,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 10","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"85",3,"Sum",106104,"1","2",3,10,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 10","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"86",4,"Modularity",0.0698510827534834,"1","2",3,10,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 10","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"87",5,"Assortativity",-0.0436267698989226,"1","2",3,10,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 10","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"88",6,"DegreeCentralization",0.000271028278919321,"1","2",3,10,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 10","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"89",7,"KeystoneAssortativity",-0.0239597315436244,"1","2",3,10,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 10","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"90",8,"KeystoneAssPercentile",38.565,"1","2",3,10,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 10","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"91",0,"Transitivity",0.944361136536252,"1","2",4,11,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 11","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"92",1,"Average Clustering",0.945603030085565,"1","2",4,11,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 11","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"93",2,"GlobalEfficiency",94.1305041246785,"1","2",4,11,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 11","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"94",3,"Sum",128102,"1","2",4,11,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 11","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"95",4,"Modularity",0.0591057596111274,"1","2",4,11,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 11","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"96",5,"Assortativity",-0.0117969864513596,"1","2",4,11,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 11","Head_Head","RooibosTea","Night","RooibosTea TRUE"
