"","X","params","values","ExpDay","Day","Zeit","Hour","Col","QR","ID","Mod","Trial","TimeOfDay"
"35",4,"Modularity",0.0385389096536268,"1","1",12,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"36",5,"Assortativity",-0.0694415468486923,"1","1",12,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"37",0,"Transitivity",0.912863417695043,"1","1",13,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"38",1,"Average Clustering",0.915865804732028,"1","1",13,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"39",2,"GlobalEfficiency",7.22072841299586,"1","1",13,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"40",3,"Sum",12674,"1","1",13,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"41",4,"Modularity",0.0383448385533497,"1","1",13,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"42",5,"Assortativity",-0.0637194098476118,"1","1",13,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"43",0,"Transitivity",0.929387435501034,"1","2",14,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"44",1,"Average Clustering",0.931284182846441,"1","2",14,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"45",2,"GlobalEfficiency",8.38211436006742,"1","2",14,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"46",3,"Sum",15000,"1","2",14,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"47",4,"Modularity",0.0506555644444444,"1","2",14,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"48",5,"Assortativity",-0.0552431898667742,"1","2",14,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"49",0,"Transitivity",0.930312755396974,"1","2",15,8,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"50",1,"Average Clustering",0.931995864318296,"1","2",15,8,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"51",2,"GlobalEfficiency",7.38328177758607,"1","2",15,8,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"52",3,"Sum",13066,"1","2",15,8,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"53",4,"Modularity",0.0743689522296919,"1","2",15,8,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"54",5,"Assortativity",-0.0390895440182668,"1","2",15,8,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"55",0,"Transitivity",0.921401767588738,"1","2",16,9,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"56",1,"Average Clustering",0.923707036500835,"1","2",16,9,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"57",2,"GlobalEfficiency",7.56169222770354,"1","2",16,9,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"58",3,"Sum",13368,"1","2",16,9,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
