"","X","params","values","ExpDay","Day","Zeit","Hour","Col","QR","ID","Mod","Trial","TimeOfDay"
"35",4,"Modularity",0.0558614139263317,"1","1",11,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"36",5,"Assortativity",-0.0209065414847495,"1","1",11,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"37",6,"DegreeCentralization",0.000384221355080795,"1","1",11,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"38",7,"KeystoneAssortativity",-0.0366096769833761,"1","1",11,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"39",8,"KeystoneAssPercentile",3.9375,"1","1",11,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"40",0,"Transitivity",0.918917244796829,"1","1",12,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"41",1,"Average Clustering",0.922244416103041,"1","1",12,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"42",2,"GlobalEfficiency",82.4169200443365,"1","1",12,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"43",3,"Sum",117648,"1","1",12,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"44",4,"Modularity",0.0390009871897089,"1","1",12,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"45",5,"Assortativity",-0.0637005229051701,"1","1",12,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"46",6,"DegreeCentralization",0.000345350006879245,"1","1",12,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"47",0,"Transitivity",0.912863417695043,"1","1",13,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"48",1,"Average Clustering",0.915865804732028,"1","1",13,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"49",2,"GlobalEfficiency",75.695991130822,"1","1",13,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"50",3,"Sum",106184,"1","1",13,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
